dua_seq,section_title_bn,page_start,page_end,entry_number_bn,arabic,transliteration_bn,translation_bn,reference_bn,notes,raw_pages,parse_status,review_flag,source_excerpt
125,৪৫. শয়তান ও তার কুমন্ত্রণা দূর করার দো‘আ,193,193,১৪১-(১),,অর্থাৎ ‘আউযু বিল্লাহ’ পড়বে,“তার থেকে আল্লাহর নিকট আশ্রয় প্রার্থনা করবে” ।,"আবূ দাউদ ১/২০৩, ইবন মাোহ ১/২৬৫, নং ৮০৭। আর পূ মবগ ৩১ নং হাদীমস এর তাখরীে চমি দর্মছ। আরও দদখুন, সূ রা আি- মুযমনূ ন এর ৯৭-৯৮।",reference_recovered_from_pdftext,193,ok,,“তার থেকে আল্লাহর নিকট আশ্রয় প্রার্থনা করবে”১৮৪ (অর্থাৎ ‘আউযু বিল্লাহ’ পড়বে)।
126,৪৫. শয়তান ও তার কুমন্ত্রণা দূর করার দো‘আ,193,193,১৪২-(২),,,“আযান দিবে।”,"মুসযিম ১/২৯১; নং ৩৮৯; বু খারী, ১/১৫১, নং ৬০৮।",reference_recovered_from_pdftext,193,ok,,“আযান দিবে।”১৮৫
127,৪৫. শয়তান ও তার কুমন্ত্রণা দূর করার দো‘আ,194,194,১৪৩-(৩),,,“যিকির করবে এবং কুরআন পড়বে।”,"নবী সাল্লাল্লাহু আিাইযহ ওয়াসাল্লাম বমিন, “দতামরা দতামামদর ঘরসমূ হ কবমর পযরণত করুন না। যনিয় িয়তান ঐ ঘর দেমক পিায়ন কমর দিখামন সূ রা বাকারাহ পাঠ করা হয়।” মুসযিম ১/৫৩৯, হাদীস নং ৭৮০। তাছাড়া আরও িা িয়তানমক তাযড়ময় দদয় তা হমে, সকাি যবকামির যিযকরসমূ হ, ঘুমমর যিযকর, োগ্রত হওয়ার যিযকর, ঘমর প্রমবমির ও ঘর দেমক দবর হওয়ার যিযকরসমূ হ, মসযেমদ প্রমবমির ও মসযেদ দেমক দবর হওয়ার যিযকরসমূ হ, ইতযাদী িরী‘আতসম্মত যিযকরসমূ হ। দিমন, ঘুমমর সময় আয়াতুি কুরসী, সূ রা আি-বাকারার সবগমিষ দু ’যে আয়াত। তাছাড়া দি বযযি “িা ইিাহা ইল্লাল্লাহু ওয়াহদাহু িা িারীকা িাহু, িাহুি মুিকু ওয়া িাহুি হামদু , ওয়াহুয়া ‘আিা কুযল্ল িাইযয়ন কাদীর” একিতবার পড়মব, দসো তার েনয দস যদনযের েনয পুমরাপুযরই দহফািমতর কাে যদমব। তদ্রুপ আিান যদমিও িয়তান পিায়ন কমর।",reference_recovered_from_pdftext,194,ok,,“যিকির করবে এবং কুরআন পড়বে।”১৮৬
128,৪৯. রোগী দেখতে গিয়ে তার জন্য দো‘আ,199,199,147-(1),لَا بَأْسَ طَهُورٌ إِنْ شَاءَ اللَّهُ.,লা বা’সা তুহুরুন ইন শা-আল্লা-হ,"“কোনো ক্ষতি নেই, আল্লাহ যদি চান তো (রোগটি গুনাহ থেকে) পবিত্রকারী হবে।”","বু খারী (ফাতহুি বারীসহ) ১০/১১৮, নং ৩৬১৬।",reference_recovered_from_pdftext,199,ok,,"لَا بَأْسَ طَهُورٌ إِنْ شَاءَ اللَّهُ. (লা বা’সা তুহুরুন ইন শা-আল্লা-হ) “কোনো ক্ষতি নেই, আল্লাহ যদি চান তো (রোগটি গুনাহ থেকে) পবিত্রকারী হবে।”১৯১"
129,৪৯. রোগী দেখতে গিয়ে তার জন্য দো‘আ,199,200,148-(2),أَسْأَلُ اللَّهَ الْعَظِيمَ رَبَّ الْعَرْشِ الْعَظِيمِ أَنْ يَشْفِيَكَ. (সাতবার),"আসআলুল্লা-হাল ‘আযীম, রব্বাল ‘আরশিল ‘আযীম, আই ইয়াশফিয়াকা)। (সাতবার","“আমি মহান আল্লাহর কাছে চাচ্ছি, যিনি মহান ‘আরশের রব্ব, তিনি যেন আপনাকে রোগমুক্তি প্রদান করেন।” (সাতবার)","নবী সাল্লাল্লাহু আিাইযহ ওয়াসাল্লাম বমিন, দকউ মৃ তুয আসন্ন নয় এমন দকামনা দরার্ীমক দদখমত দর্মি, দস তার সামমন এই দদা‘আ সাতবার পাঠ করমব, এর ফমি আল্লাহ তামক (মৃ তুয আসন্ন না হমি) দরার্মুি করমবন। এ দদা‘আ সাতবার পড়মব। যতরযমিী, নং ২০৮৩; আবূ দাউদ, নং ৩১০৬। আরও দদখুন, ২/২১০; সহীহুি োমম‘ ৫/১৮০।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","199,200",ok,,"أَسْأَلُ اللَّهَ الْعَظِيمَ رَبَّ الْعَرْشِ الْعَظِيمِ أَنْ يَشْفِيَكَ. (সাতবার) (আসআলুল্লা-হাল ‘আযীম, রব্বাল ‘আরশিল ‘আযীম, আই ইয়াশফিয়াকা)। (সাতবার)"
130,৫১. জীবনের আশা ছেড়ে দেওয়া রোগীর দো‘আ,201,201,150-(1),اَللّٰهُمَّ اغْفِرْ لِي، وَارْحَمْنِي، وَأَلْحِقْنِي بِالرَّفِيقِ الْأَعْلَى.,আল্লা-হুম্মাগফিরলী ওয়ারহামনী ওয়া আলহিকনী বির রফীকিল আ‘লা,"“হে আল্লাহ! আমাকে ক্ষমা করুন, আমার প্রতি দয়া করুন এবং আমাকে সর্বোচ্চ বন্ধুর সঙ্গ পাইয়ে দিন।”","বু খারী ৭/১০, নং ৪৪৩৫; মুসযিম ৪/১৮৯৩, নং ২৪৪৪।",reference_recovered_from_pdftext,201,ok,,اَللّٰهُمَّ اغْفِرْ لِي، وَارْحَمْنِي، وَأَلْحِقْنِي بِالرَّفِيقِ الْأَعْلَى. (আল্লা-হুম্মাগফিরলী ওয়ারহামনী ওয়া আলহিকনী বির রফীকিল আ‘লা)
131,৫১. জীবনের আশা ছেড়ে দেওয়া রোগীর দো‘আ,201,202,151-(2),لَا إِلٰهَ إِلَّا اللَّهُ، إِنَّ لِلْمَوْتِ سَكَرَاتٍ.,"লা ইলা-হা ইল্লাল্লা-হ, ইন্না লিল মাওতি সাকারা-তিন","“রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম মৃত্যুর সময় তার দু’হাত পানিতে প্রবেশ করিয়ে তা দিয়ে তার চেহারা মুছছিলেন এবং বলছিলেন, “আল্লাহ ব্যতীত কোনো হক ইলাহ নেই, নিশ্চয় মৃত্যুর রয়েছে বিভিন্ন প্রকার ভয়াবহ কষ্ট।”","বু খারী, (ফাতহুি বারীসহ), ৮/১৪৪, নং ৪৪৪৯; তমব হাদীমস যমসওয়ামকর উমল্লখও এমসমছ।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","201,202",ok,,"“রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম মৃত্যুর সময় তার দু’হাত পানিতে প্রবেশ করিয়ে তা দিয়ে তার চেহারা মুছছিলেন এবং বলছিলেন, لَا إِلٰهَ إِلَّا اللَّهُ، إِنَّ لِلْمَوْتِ سَكَرَاتٍ."
132,৫১. জীবনের আশা ছেড়ে দেওয়া রোগীর দো‘আ,202,203,152-(3),لَا إِلٰهَ إِلَّا اللَّهُ وَاللَّهُ أَكْبَرُ، لَا إِلٰهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ، لَا إِلٰهَ إِلَّا اللَّهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ، لَا إِلٰهَ إِلَّا اللَّهُ وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللَّهِ.,"লা ইলা-হা ইল্লাল্লা-হু, আল্লা-হু আকবার, লা ইলা-হা ইল্লাল্লা-হু ওয়াহদাহু লা শারীকা লাহ, লা ইলা-হা ইল্লাল্লা-হু লাহুল মুলক ওয়ালাহুল হামদ, লা ইলা-হা ইল্লাল্লা-হু ওয়ালা হাউলা ওয়ালা কুওয়াতা ইল্লা বিল্লা-হ","“আল্লাহ ব্যতীত কোনো হক ইলাহ নেই, আল্লাহ মহান। একমাত্র আল্লাহ ব্যতীত কোনো ইলাহ নেই। একমাত্র আল্লাহ ব্যতীত কোনো হক ইলাহ নেই, তাঁর কোনো শরীক নেই। আল্লাহ ব্যতীত কোনো ইলাহ নেই, যাবতীয় রাজত্ব তাঁরই, তারই সকল প্রশংসা, আল্লাহ ব্যতীত কোনো হক ইলাহ নেই, আল্লাহর সাহায্য ছাড়া (পাপ কাজ থেকে দূরে থাকার) কোনো উপায় এবং (সৎকাজ করার) কোনো শক্তি নেই।”","হাদীসযে ইমাম যতরযমিী সংকিন কমরমছন, নং ৩৪৩০; ইবন মাোহ, নং ৩৭৯৪; আর িাইখ আিবানী এমক সহীহ বমিমছন। দদখুন, সহীহুত যতরযমিী ৩/১৫২; সহীহ ইবন মাোহ ২/৩১৭।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","202,203",ok,,"لَا إِلٰهَ إِلَّا اللَّهُ وَاللَّهُ أَكْبَرُ، لَا إِلٰهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ، لَا إِلٰهَ إِلَّا اللَّهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ، لَا إِلٰهَ إِلَّا اللَّهُ وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللَّهِ. (লা ইলা-হা ইল্লাল্লা-হু, আল্লা-হু আকবার, লা ইলা-হা"
133,৫৪. মৃত ব্যক্তির চোখ বন্ধ করানোর দো‘আ,206,208,156-(1),اَللّٰهُمَّ اغْفِرْ لَهُ وَارْحَمْهُ، وَعَافِهِ، وَاعْفُ عَنْهُ، وَأَكْرِمْ نُزُلَهُ، وَوَسِّعْ مُدْخَلَهُ، وَاغْسِلْهُ بِالْمَاءِ وَالثَّلْجِ وَالْبَرَدِ، وَنَقِّهِ مِنَ الْخَطَايَا كَمَا نَقَّيْتَ الثَّوْبَ الْأَبْيَضَ مِنَ الدَّنَسِ،,"আল্লা-হুম্মাগফির লাহু, ওয়ারহামহু, ওয়া ‘আ-ফিহি, ওয়া‘ফু ‘আনহু, ওয়া আকরিম নুযুলাহু, ওয়াওয়াসসি‘ মুদখালাহু, ওয়াগসিলহু বিলমা-ই ওয়াস্‌সালজি ওয়ালবারাদি, ওয়ানাক্কিহি মিনাল খাতা-ইয়া কামা নাক্কাইতাস সাওবাল আবইয়াদা মিনাদ্দানাসি, ওয়া আবদিলহু দা-রান খাইরাম মিন দা-রিহি, ওয়া আহলান খাইরাম মিন আহলিহি, ওয়া যাওজান খাইরাম মিন যাওজিহি, ওয়া আদখিলহুল জান্নাতা, ওয়া আ‘ইযহু মিন ‘আযা-বিল কাবারি [ওয়া ‘আযাবিন্-না-র]","“হে আল্লাহ! আপনি তাকে ক্ষমা করুন, তাকে দয়া করুন, তাকে পূর্ণ নিরাপত্তায় রাখুন, তাকে মাফ করে দিন, তার মেহমানদারীকে মর্যাদাপূর্ণ করুন, তার প্রবেশস্থান করবারকে প্রশস্ত করে দিন। আর আপনি তাকে ধৌত করুন পানি, বরফ ও শিলা দিয়ে, আপনি তাকে গুনাহ থেকে এমনভাবে পরিষ্কার করুন যেমন সাদা কাপড়কে ময়লা থেকে পরিষ্কার করেছেন। আর তাকে তার ঘরের পরিবর্তে উত্তম ঘর, তার পরিবারের বদলে উত্তম পরিবার ও তার জোড়ের (স্ত্রী/স্বামীর) চেয়ে উত্তম জোড় প্রদান করুন। আর আপনি তাকে জান্নাতে প্রবেশ করান এবং তাকে কবরের আযাব [ও জাহান্নামের আযাব] থেকে রক্ষা করুন।”","মুসযিম ২/৬৬৩, নং ৯৬৩।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","206,207,208",ok,,اَللّٰهُمَّ اغْفِرْ لَهُ وَارْحَمْهُ، وَعَافِهِ، وَاعْفُ عَنْهُ، وَأَكْرِمْ نُزُلَهُ، وَوَسِّعْ مُدْخَلَهُ، وَاغْسِلْهُ بِالْمَاءِ وَالثَّلْجِ وَالْبَرَدِ، وَنَقِّهِ مِنَ الْخَطَايَا كَمَا نَقَّيْتَ الثَّوْبَ الْأَبْيَضَ مِنَ الدَّنَسِ،
134,৫৪. মৃত ব্যক্তির চোখ বন্ধ করানোর দো‘আ,208,209,157-(2),اَللّٰهُمَّ اغْفِرْ لِحَيِّنَا وَمَيِّتِنَا، وَشَاهِدِنَا وَغَائِبِنَا، وَصَغِيرِنَا وَكَبِيرِنَا، وَذَكَرِنَا وَأُنْثَانَا. اَللّٰهُمَّ مَنْ أَحْيَيْتَهُ مِنَّا فَأَحْيِهِ عَلَى الْإِسْلَامِ، وَمَنْ تَوَفَّيْتَهُ مِنَّا فَتَوَفَّهُ عَلَى الْإِيمَانِ. اَللّٰهُمَّ لَا تَحْرِمْنَا أَجْرَهُ، وَلَا تُضِلَّنَا بَعْدَهُ.,আল্লা-হুম্মাগফির লিহাইয়্যিনা ওয়া মাইয়্যিতিনা ওয়া শা- হিদিনাওয়া গা-ইবিনা ওয়া সগীরিনা ওয়া কাবীরিনা ওয়া যাকারিনা ওয়া উনসা-না। আল্লা-হুম্মা মান আহইয়াইতাহ মিন্না ফাআহইহি ‘আলাল-ইসলামি। ওয়ামান তাওয়াফফাইতাহ মিন্না ফাতাওয়াফফাহ ‘আলাল ঈমান আল্লা-হুম্মা লা তাহরিমনা আজরাহু ওয়ালা তুদিল্লানা বা‘দাহ,"“হে আল্লাহ! আমাদের জীবিত ও মৃত, উপস্থিত ও অনুপস্থিত, ছোট ও বড় এবং নর ও নারীদেরকে ক্ষমা করুন। হে আল্লাহ! আপনি আমাদের মধ্যে যাদের আপনি জীবিত রাখবেন তাদেরকে ইসলামের ওপর জীবিত রাখুন এবং যাদেরকে মৃত্যু দান করবেন তাদেরকে ঈমানের সাথে মৃত্যু দান করুন। হে আল্লাহ! আমাদেরকে তার (মৃত্যুতে ধৈর্যধারণের) সাওয়াব থেকে বঞ্চিত করবেন না এবং তার (মৃত্যুর) পর আমাদেরকে পথভ্রষ্ট করবেন না।”","আবূ দাঊদ, নং ৩২০১; যতরযমিী, নং ১০২৪; নাসাঈ, নং ১৯৮৫; ইবন মাোহ, ১/৪৮০, নং ১৪৯৮; আহমাদ ২/৩৬৮, নং ৮৮০৯। আরও দদখুন, সহীহ ইবন মাোহ ১/২৫১।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","208,209",ok,,اَللّٰهُمَّ اغْفِرْ لِحَيِّنَا وَمَيِّتِنَا، وَشَاهِدِنَا وَغَائِبِنَا، وَصَغِيرِنَا وَكَبِيرِنَا، وَذَكَرِنَا وَأُنْثَانَا. اَللّٰهُمَّ مَنْ أَحْيَيْتَهُ مِنَّا فَأَحْيِهِ عَلَى الْإِسْلَامِ، وَمَنْ تَوَفَّيْتَهُ مِنَّا فَتَوَفَّهُ عَلَى الْإِيمَانِ. اَللّٰهُمَّ لَا تَحْرِمْنَا أَجْرَهُ، وَلَا تُضِ
135,৫৪. মৃত ব্যক্তির চোখ বন্ধ করানোর দো‘আ,209,210,158-(3),اَللّٰهُمَّ إِنَّ فُلَانَ بْنَ فُلَانٍ فِي ذِمَّتِكَ، وَحَبْلِ جِوَارِكَ، فَقِهِ مِنْ فِتْنَةِ الْقَبْرِ وَعَذَابِ النَّارِ، وَأَنْتَ أَهْلُ الْوَفَاءِ وَالْحَقِّ، فَاغْفِرْ لَهُ وَارْحَمْهُ، إِنَّكَ أَنْتَ الْغَفُورُ الرَّحِيمُ.,"আল্লা-হুম্মা ইন্না ফুলানাবনা ফুলা-নিন ফী যিম্মাতিক, ওয়া হাবলি জিওয়ারিকা, ফাকিহি মিন ফিতনাতিল কাবরি, ওয়া ‘আযা-বিন্ না-রি, ওয়া আনতা আহলুল ওয়াফাই ওয়াল হাক্কি, ফাগফির লাহু ওয়ারহামহু, ইন্নাকা আনতাল গাফূরুর রাহীম","“হে আল্লাহ, অমুকের পুত্র অমুক আপনার যিম্মাদারীতে, আপনার প্রতিবেশিত্বের নিরাপত্তায়; সুতরাং আপনি তাকে কবরের পরীক্ষা থেকে এবং জাহান্নামের শাস্তি থেকে রক্ষা করুন। আর আপনি প্রতিশ্রুতি পূর্ণকারী এবং প্রকৃত সত্যের অধিকারী। অতএব, আপনি তাকে ক্ষমা করুন এবং তার ওপর দয়া করুন। নিশ্চয় আপনি ক্ষমাশীল, দয়ালু।”","ইবন মাোহ, নং ১৪৯৯। দদখুন, সহীহ ইবন মাোহ ১/২৫১। তাছাড়া হাদীসযে আবূ দাউদও বণগনা কমরমছন, ৩/২১১, নং ৩২০২।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","209,210",ok,,"اَللّٰهُمَّ إِنَّ فُلَانَ بْنَ فُلَانٍ فِي ذِمَّتِكَ، وَحَبْلِ جِوَارِكَ، فَقِهِ مِنْ فِتْنَةِ الْقَبْرِ وَعَذَابِ النَّارِ، وَأَنْتَ أَهْلُ الْوَفَاءِ وَالْحَقِّ، فَاغْفِرْ لَهُ وَارْحَمْهُ، إِنَّكَ أَنْتَ الْغَفُورُ الرَّحِيمُ. (আল্লা-হুম্মা ইন্না ফুলানাবনা ফুলা-নিন ফী যিম্মাতিক,"
136,৫৪. মৃত ব্যক্তির চোখ বন্ধ করানোর দো‘আ,211,211,159-(4),اَللّٰهُمَّ عَبْدُكَ وَابْنُ عَبْدِكَ، احْتَاجَ إِلَى رَحْمَتِكَ، وَأَنْتَ غَنِيٌّ عَنْ عَذَابِهِ، إِنْ كَانَ مُحْسِنًا فَزِدْ فِي حَسَنَاتِهِ، وَإِنْ كَانَ مُسِيئًا فَتَجَاوَزْ عَنْهُ.,"আল্লা-হুম্মা ‘আব্দুকা, ওয়াবনু ‘আব্দিকা, এহতাজা ইলা রাহমাতিকা, ওয়া আনতা গানিয়্যুন ‘আন ‘আযা-বিহি, ইন কা-না মুহসিনান ফাযিদ ফী হাসানা-তিহী, ওয়া ইনকা-না মুসীআন ফা তাজা-ওয়ায ‘আনহু","“হে আল্লাহ, আপনার এক দাস, আর এক দাসীর পুত্র, আপনার অনুগ্রহের মুখাপেক্ষী, আপনি তাকে শাস্তি দেওয়া থেকে অমুখাপেক্ষী। যদি সে নেককার বান্দা হয়, তবে তার সাওয়াব আরও বাড়িয়ে দিন, আর যদি বদকার বান্দা হয়, তবে তার অপরাধকর্ম এড়িয়ে যান।”","হাদীসযে সংকিণ কমরন, হামকম তাাঁর মুিাদরামক এবং সহীহ বমিমছন, ১/৩৫৯; আর িাহাবী দসো সমেগন কমরমছন। আরও দদখুন, আিবানী, আহকামুি োনাময়ি, পৃ . ১২৫।",reference_recovered_from_pdftext,211,ok,,"اَللّٰهُمَّ عَبْدُكَ وَابْنُ عَبْدِكَ، احْتَاجَ إِلَى رَحْمَتِكَ، وَأَنْتَ غَنِيٌّ عَنْ عَذَابِهِ، إِنْ كَانَ مُحْسِنًا فَزِدْ فِي حَسَنَاتِهِ، وَإِنْ كَانَ مُسِيئًا فَتَجَاوَزْ عَنْهُ. (আল্লা-হুম্মা ‘আব্দুকা, ওয়াবনু ‘আব্দিকা, এহতাজা ইলা"
137,৫৬. নাবালক শিশুদের জন্য জানাযার সালাতে দো‘আ,212,214,160-(1),اَللّٰهُمَّ أَعِذْهُ مِنْ عَذَابِ الْقَبْرِ. اَللّٰهُمَّ اجْعَلْهُ فَرَطًا وَذُخْرًا لِوَالِدَيْهِ، وَشَفِيعًا مُجَابًا، اَللّٰهُمَّ ثَقِّلْ بِهِ مَوَازِينَهُمَا، وَأَعْظِمْ بِهِ أُجُورَهُمَا، وَأَلْحِقْهُ بِصَالِحِ الْمُؤْمِنِينَ، وَاجْعَلْهُ فِي كَفَالَةِ إِبْرَاهِيمَ، وَقِهِ بِرَحْمَتِكَ عَذَابَ الْجَحِيمِ، وَأَبْدِلْهُ دَارًا خَيْرًا مِنْ دَارِهِ، وَأَهْلًا خَيْرًا مِنْ أَهْلِهِ، اَللّٰهُمَّ اغْفِرْ لِأَسْلَافِنَا، وَأَفْرَاطِنَا وَمَنْ سَبَقَنَا بِالْإِيمَانِ.,"আল্লা-হুম্মা আ‘ইযহু মিন ‘আযা-বিল কাবরি আল্লা-হুম্মাজ‘আলহু ফারাতান ওয়া যুখরান লিওয়ালিদাইহি, ওয়াশাফী‘আন মুজাবান। আল্লা-হুম্মা সাক্কিল বিহী মাওয়াযীনাহুমা, ওয়া আ‘যিম বিহী উজুরাহুমা, ওয়া আলহিকহু বিসা-লিহিল মুমিনীন, ওয়াজ‘আলহু ফী কাফালাতি ইব্রাহীম, ওয়াকিহী বিরাহমাতিকা ‘আযা-বাল জাহীম, ওয়া আবদিলহু দা-রান খাইরান মিন দা-রিহি, ওয়া আহলান খাইরান মিন আহলিহি, আল্লা-হুম্মাগফির লিআসলাফিনা ওয়া আফরাতিনা ওয়া মান সাবাকানা বিল ঈমান","“হে আল্লাহ! এ শিশুকে কবরের আযাব থেকে রক্ষা করুন।” আর যদি নিম্নোক্ত দো‘আটি পড়া হয় তবে তাও উত্তম: “হে আল্লাহ, তাকে তার পিতা-মাতার জন্য অগ্রগামী প্রতিনিধি বা সাওয়াব ও সমুদ্রে গচ্ছিত সাওয়াব হিসেবে কবুল করুন। আর তাকে এমন শাফা‘আতকারী বানান, যার শাফা‘আত কবুল হয়। হে আল্লাহ, এ শিশুর দ্বারা তার পিতা মাতার ওজনসমূহ আরও ভারী করে দিন। আর এর দ্বারা তাদের দু’জনের সাওয়াব আরও বাড়িয়ে দিন। আর তাকে নেককারদের সঙ্গী-সাথী বানান এবং তাকে ইবরাহীম আলাইহিস্সালামের যিম্মায় রাখুন। আর আপনার রহমতের উসীলায় তাকে জাহান্নামের শাস্তি থেকে রক্ষা করুন। তাকে তার এ বাসস্থানের পরিবর্তে উত্তম বাসস্থান প্রদান করুন, এখানকার পরিবার- পরিজনের পরিবর্তে উত্তম পরিবার-পরিজন প্রদান করুন। হে আল্লাহ, আমাদের পূর্ববর্তী নর-নারী ও নাবালক অগ্রগামী সন্তান-সন্ততিদের মাফ করুন এবং যারা ঈমান সহকারে আমাদের পূর্বে মারা গেছে তাদেরকেও।”","সা‘ঈদ ইবনু ি মুসাইময়যব বমিন, আযম আবু হুরাইরা রাযদয়াল্লাহু আনহুর যপছমন একযে যিশুর োনািার সািাত আদায় কমরযছ, দি যিশু কখনও দকামনা গুনাহ কমর যন, তখন আযম তামক (উপমরাি দদা‘আযে) বিমত শুনিাম....। হাদীসযে ইমাম মামিক তার মুওয়ািা গ্রমে সংকিন কমরন, ১/২৮৮; ইবন আবী িাইবাহ তার মুসান্নাফ গ্রমে, ৩/২১৭; বাইহাকী, ৪/৯। আর িাইখ শু‘আইব আি- আরনাউত িারহুস সু ন্নাহ যিি বার্ভীর তাহকীমক ৫/৩৫৭, এোর সনদমক সহীহ বমিমছন। দদখুন, আি-মুর্নী, যি ইবন কুদামা, ৩/৪১৬; আরও দদখুন, আদ-দু রুসু ি মুযহম্মাহ যি ‘আম্মাযতি উম্মাহ, যিি িাইখ আবযদি","reference_recovered_from_pdftext,continued_from_previous_or_next_page","212,213,214",ok,,اَللّٰهُمَّ أَعِذْهُ مِنْ عَذَابِ الْقَبْرِ. (আল্লা-হুম্মা আ‘ইযহু মিন ‘আযা-বিল কাবরি) “হে আল্লাহ! এ শিশুকে কবরের আযাব থেকে রক্ষা করুন।”২০৪
138,৫৬. নাবালক শিশুদের জন্য জানাযার সালাতে দো‘আ,215,215,161-(2),اَللّٰهُمَّ اجْعَلْهُ لَنَا فَرَطًا، وَسَلَفًا، وَأَجْرًا.,আল্লা-হুম্মাজ‘আলহু লানা ফারাতান ওয়া সালাফান ওয়া আজরান,"“হে আল্লাহ, আমাদের জন্য তাকে অগ্রগামী প্রতিনিধি, অগ্রিম পুণ্য এবং সাওয়াব হিসেবে নির্ধারণ করে দিন।”","হাসান বসরী রামহমাহুল্লাহ িখন দছাে যিশুমদর োনািা পড়মতন তখন তার উপর সূ রা ফামতহা পড়মতন এবং উপমরাি দদা‘আ বিমতন। হাদীসযে ইমাম বার্ভী তার িারহুস সু ন্নাহ ৫/৩৫৭ এ বণগনা কমরমছন। আরও বণগনা কমরমছন, আব্দু র রায্িাক তার মুসান্নামফ, নং ৬৫ ৮৮। তাছাড়া ইমাম বু খারী, যকতাবু ি োনাময়ি এর, ৬৫, বাবু যকরাআযত ফাযতহাযতি যকতাব আিাি োনািাত ২/১১৩; ১৩৩৫ নং হাদীমসর পূ মবগ এোমক তা‘িীক বা সনদ বযতীত বণগনা কমরমছন।",reference_recovered_from_pdftext,215,ok,,"اَللّٰهُمَّ اجْعَلْهُ لَنَا فَرَطًا، وَسَلَفًا، وَأَجْرًا. (আল্লা-হুম্মাজ‘আলহু লানা ফারাতান ওয়া সালাফান ওয়া আজরান) “হে আল্লাহ, আমাদের জন্য তাকে অগ্রগামী"
139,৬১. বায়ু প্রবাহিত হলে পড়ার দো‘আ,220,220,166-(1),اَللّٰهُمَّ إِنِّي أَسْأَلُكَ خَيْرَهَا، وَأَعُوذُ بِكَ مِنْ شَرِّهَا.,আল্লা-হুম্মা ইন্নী আসআলুকা খাইরাহা ওয়া আ‘ঊযু বিকা মিন শাররিহা,“হে আল্লাহ! আমি আপনার নিকট এর কল্যাণ চাই। আর আমি আপনার নিকট এর অনিষ্ট থেকে আশ্রয় চাই।”,"আবূ দাউদ ৪/৩২৬, নং ৫০৯৯; ইবন মাোহ ২/১২২৮, নং ৩৭২৭। আরও দদখুন, সহীহ ইবন মাোহ ২/৩০৫।",reference_recovered_from_pdftext,220,ok,,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ خَيْرَهَا، وَأَعُوذُ بِكَ مِنْ شَرِّهَا. (আল্লা-হুম্মা ইন্নী আসআলুকা খাইরাহা ওয়া আ‘ঊযু বিকা মিন শাররিহা)
140,৬১. বায়ু প্রবাহিত হলে পড়ার দো‘আ,220,221,167-(2),اَللّٰهُمَّ إِنِّي أَسْأَلُكَ خَيْرَهَا، وَخَيْرَ مَا فِيهَا، وَخَيْرَ مَا أُرْسِلَتْ بِهِ، وَأَعُوذُ بِكَ مِنْ شَرِّهَا، وَشَرِّ مَا فِيهَا، وَشَرِّ مَا أُرْسِلَتْ بِهِ.,"আল্লা-হুম্মা ইন্নী আসআলুকা খাইরাহা ওয়া খাইরা মা-ফীহা ওয়া খাইরা মা উরসিলাত বিহী, ওয়া আ‘ঊযু বিকা মিন শাররিহা, ওয়া শাররি মা-ফীহা, ওয়া শাররি মা উরসিলাত বিহী","“হে আল্লাহ! আমি আপনার নিকট প্রার্থনা করি এর কল্যাণ, এর মধ্যকার কল্যাণ এবং যা এর সাথে প্রেরিত হয়েছে তার কল্যাণ। আর আমি আপনার আশ্রয় চাই এর অনিষ্ট থেকে, এর ভেতরে নিহিত অনিষ্ট থেকে এবং যা এর সাথে প্রেরিত হয়েছে তার অনিষ্ট থেকে।”","মুসযিম, আর িব্দ তাাঁরই, ২/৬১৬, নং ৮৯৯; বু খারী, ৪/৭৬, নং ৩২০৬ ও ৪৮২৯।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","220,221",ok,,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ خَيْرَهَا، وَخَيْرَ مَا فِيهَا، وَخَيْرَ مَا أُرْسِلَتْ بِهِ، وَأَعُوذُ بِكَ مِنْ شَرِّهَا، وَشَرِّ مَا فِيهَا، وَشَرِّ مَا أُرْسِلَتْ بِهِ. (আল্লা-হুম্মা ইন্নী আসআলুকা খাইরাহা ওয়া খাইরা
